董事長您別開玩笑了∼	Oh Chairman, don't joke~
董事長慢走！	Goodbye, Chairman!
各位客戶辛苦了！\n又到了每月銀行\n結算的日子。	Attention, customers!\nIt's time for the\nmonthly bank settlement.
大富翁銀行將\n根據您的存款，\n加發１０％的儲金利息。	Richman Bank will pay\n10% interest on\nyour savings.
本月悲情人物是．．。	This month's hapless\nsoul is...
別灰心，再加油喔！	Don't lose heart, keep going!
本月冠軍是．．。	This month's champion\nis...
其他人還要\n更努力喔！	The rest of you need\nto try harder!
太感激了！我一\n定會報答你的！	Thank you so much!\nI will repay you!
謝謝你！你真是\n我的再生父母！	Thank you! You're\nmy savior!
我先走了！大恩\n大德來日再報！	I must go! I'll never\nforget this debt!
受人點水之恩，\n必當湧泉已報！	A drop of kindness\nmust be repaid\nwith a spring!
您好！請問您要替誰\n辦理出院手續？	Hello! Who are you\ndischarging today?
請稍後！	One moment!
ＯＫ！您的朋友已經\n可以出院了！	OK! Your friend is\nfree to go!
要保重身體喔！	Take care!
公開拍賣土地一處。	A plot of land is up\nfor public auction.
底價%d元\n請意者出價。	Starting bid $%d.\nPlace your bids!
%d元成交	Sold for $%d!
恭喜約翰喬購得此地！	Congrats to John Joe on this land!
恭喜沙隆巴斯購得此地！	Congrats to Salonpas on this land!
恭喜忍太郎購得此地！	Congrats to Ninja Taro on this land!
恭喜錢夫人購得此地！	Congrats to Madame Qian on this land!
恭喜阿土伯購得此地！	Congrats to Uncle Tudi on this land!
恭喜莎拉公主購得此地！	Congrats to Princess Sara on this land!
恭喜宮本寶藏購得此地！	Congrats to Takara Miyamoto on this land!
恭喜糖糖購得此地！	Congrats to Sugar on this land!
恭喜烏咪購得此地！	Congrats to Mimi on this land!
恭喜孫小美購得此地！	Congrats to Sun Xiaomei on this land!
恭喜小丹尼購得此地！	Congrats to Little Danny on this land!
恭喜金貝貝購得此地！	Congrats to Kimi on this land!
無人出價，宣佈流標。	No bids. Auction failed.
獄中囚犯無罪開釋	A prisoner is set free
獄中囚犯延長刑期%d天	A prisoner's sentence is extended %d days
住院中病患提前出院	A hospitalized patient is discharged early
住院中病患延長住院%d天	A patient's hospital stay is extended %d days
外星人攻打地球	Aliens invade Earth
外星怪獸襲擊%s\n摧毀建築一棟	Alien monster attacks %s\nand destroys a building
%s公告地價調漲３０％	Land value in %s rises 30%
公開拍賣%s\n公有土地一處	Public auction:\npublic land in %s
公開表揚第一大地主\n%s獲得%d元獎勵	The top landowner is honored:\n%s wins a %d prize
公開補助土地最少者\n%s獲得%d元補助	The poorest landowner is subsidized:\n%s receives %d
公開表揚股市第一大戶\n%s獲得%d元獎勵	The top stockholder is honored:\n%s wins a %d prize
所有人繳交所得稅５％	Everyone pays 5% income tax
所有人繳交地價稅５％	Everyone pays 5% land tax
所有人繳交證交稅５％	Everyone pays 5% stock tax
%s房屋鬧鬼\n地價下跌３０％	A house in %s is haunted.\nLand value drops 30%
%s一處民宅瓦斯爆炸\n房屋失火	A gas explosion in %s\nsets a house on fire
豪雨特報\n行人休息一回合	Heavy rain warning!\nPedestrians skip a turn
交通阻塞\n汽車停止一回合	Traffic jam!\nCars stop for a turn
%s強烈地震房屋倒塌	A powerful quake levels buildings in %s
%s山洪爆發土地流失	A flash flood washes away land in %s
超級颱風侵襲%s\n多處房屋受損	A typhoon strikes %s.\nMany buildings damaged
龍捲風侵襲%s\n摧毀房屋一棟	A tornado hits %s\nand destroys a building
銀行擠兌停止放款１５天	A bank run halts lending for 15 days
銀行加發１０％儲金紅利	The bank pays a 10% interest bonus
股市低迷不振重挫崩盤	The stock market crashes!
股市氣勢如虹全面上漲	The stock market soars across the board
股市暫停交易１０天	The stock market halts for 10 days
%s股票暫停交易１０天	%s stock halts for 10 days
%s股票恢復上市交易	%s stock resumes trading
%s違法超貸\n經營者%s坐牢５天	%s made illegal loans.\nManager %s jailed 5 days
%s工廠排放污水\n罰款10000元	%s's factory dumped sewage.\nFined $10,000
%s海外投資\n獲利20000元	%s invests overseas\nand earns $20,000
%s海外投資\n虧損20000元	%s invests overseas\nand loses $20,000
%s違規開發山坡地\n罰款10000元	%s developed hillside land.\nFined $10,000
%s製造噪音公害\n罰款5000元	%s created a noise hazard.\nFined $5,000
%s獲利調高一倍	%s's profits double
強制拆除房屋一棟	One building is demolished
強制徵收土地一處	One plot of land is seized
人頭被盜用冒貸%d元	Someone took out a fake loan in your name for %d
支票跳票\n銀行拒絕往來一個月	A check bounced!\nThe bank cuts ties for a month
侵入銀行電腦\n挪用其他人存款%d％	The bank computer was hacked.\n%d% of deposits stolen
今天是你生日\n向每人收取一張卡片	It's your birthday!\nCollect a card from each player
強迫出國觀光%d天	Forced to travel abroad for %d days
被外星人綁架%d天	Abducted by aliens for %d days
股票違約交割損失股票%d％	Stock settlement default: lose %d% of shares
變賣所有股票求現	All stocks sold for cash
機車被偷遺失	Your scooter was stolen
汽車撞電線杠全毀	Car hits a pole — totaled
掉進水溝就醫%d天	Fell into a ditch. Hospitalized %d days
騎機車摔傷住院%d天	Scooter crash. Hospitalized %d days
行人闖越馬路罰款%d元	Jaywalking fine: $%d
騎機車未戴安全帽\n罰款%d元	No helmet fine: $%d
汽車超速罰款%d元	Speeding fine: $%d
請所有人吃大餐\n花費%d元	Treated everyone to a feast.\nCost: $%d
亂丟垃圾罰款%d元	Littering fine: $%d
你家小狗亂大小便\n罰款%d元	Your dog did its business.\nFine: $%d
在路邊撿到%d元	Found $%d on the street
遺失錢包損失%d元	Lost wallet: -$%d
意外獲得遺產%d元	Inherited $%d!
被倒會損失%d元	Rosca organizer ran off. Lost $%d
發票中獎%d元	Winning receipt! Prize $%d
付保險金%d元	Paid insurance premium $%d
領取保險金%d元	Received insurance payout $%d
變賣所有卡片道具	Sold all cards and items
酒醉大鬧警局坐牢%d天	Drunk and disorderly. Jailed %d days
防礙風化坐牢%d天	Public indecency. Jailed %d days
走私毒品坐牢%d天	Drug smuggling. Jailed %d days
販賣大補帖坐牢%d天	Pirated software sales. Jailed %d days
違法聚眾示威坐牢%d天	Unlawful assembly. Jailed %d days
獵捕保育動物坐牢%d天	Poached protected animals. Jailed %d days
盜賣國寶坐牢%d天	Smuggled national treasures. Jailed %d days
誘騙未成年少女拘役%d天	Corrupting a minor. Detained %d days
施放毒氣坐牢%d天	Released toxic gas. Jailed %d days
非法持有槍械坐牢%d天	Illegal firearm possession. Jailed %d days
毆打警員坐牢%d天	Assaulted an officer. Jailed %d days
盜賣國家機密坐牢%d天	Sold state secrets. Jailed %d days
