有錢大家花！	Money for everyone!
祝你美夢成真。	May your dreams\ncome true.
天理昭彰\n報應不爽！	Karma strikes\nwithout fail!
跟我作伴吧！	Keep me company!
找個倒楣鬼~	Find an unlucky sucker~
我才不爽付呢！	Like hell I'll pay!
別傻了！！	Don't be stupid!!
你把我害得\n夠慘了！	You've really\nruined me!
有請諸神降臨！	Summoning all the gods!
等著收錢吧！！	Just wait for my money!!
再不拋售\n就來不及了！	Sell now or\nit's too late!
萬稅萬稅\n萬萬稅！！	Taxes, taxes,\nand more taxes!!
入不敷出~	Spending more\nthan I earn~
替你貼上封條！	Sealing it shut!
天下沒有\n永遠的敵人！	There are no permanent\nenemies in this world!
急什麼？！	What's the rush?!
回頭才有發展！	Going back is progress!
變更一下\n建築項目吧！	Change up the\nconstruction plan!
多停一下\n也不錯！	A little stopover\nisn't bad!
我不想走太快！	I don't want to go too fast!
我不是\n散財童子！	I'm not made\nof money!
你欺負人啊？！	You're picking on me?!
太過份了！！	That's too far!!
忍耐\n是有限度的！	My patience\nhas limits!
唉！回頭太難~	Ah! It's too hard to go back~
蓋那個做什麼？	Why build that?
看你做的好事！	Look what you've done!
我跟你\n仇結大了！	You and I have a\nserious score to settle!
此仇不報\n非君子！	A true man never\nleaves a debt unpaid!
啊！東西怎麼\n不見了？	Ah! Where did\nmy stuff go?
你有完沒完？！	Will you ever stop?!
我一定要報仇！	I will have my revenge!
今天真倒楣！	What a day!
給我記住！	You'll remember this!
想白吃白喝啊？	Freeloading, are we?
我才沒\n逃漏稅呢！	I'm no tax evader!
天下沒有\n永遠的朋友	There are no permanent\nfriends either
我不想當\n忍者龜啦！	I don't want to be\na Ninja Turtle!
老虎不發威，\n把我當病貓？！	When the tiger doesn't roar,\nyou treat it like a house cat?!
借我\n週轉一下吧！	Lend me some money\nto tide me over!
買了它！	Buy it!
