衝啊！\n野牛號！	Charge, Bison!
請慢∼慢∼\n地品味吧！	Please savor it\ns~l~o~w~l~y~!
請慢∼慢∼\n走哦！	Take it s~l~o~w~\nand easy now!
呵呵，好期待！	Heh heh, can't wait!
去吧，\n我的飛彈！	Go, my missile!
好，\n本大人要走了！	Well,\nI'm off!
飛呀飛呀，\n回到過去∼	Fly, fly,\nback to the past~
真方便的傢伙	What a handy gadget
哼，拆了你！	Hmph, I'll tear it down!
去，核子彈！	Go, nuke!
該我上場了！	My turn to shine!
停下來了！	It stopped!
畜生！	Beast!
嗚哇∼∼！	Waaah~~!
我會\n減速慢行的！	I'll slow down\nfor safety!
我會\n遵守交通規則！	I'll obey\nthe traffic laws!
好多東西\n擋路喔！	So many things\nin the way!
此路不通！！！	ROAD CLOSED!!!
送你一份\n愛的禮物∼	A gift of love\nfor you~
小心\n不要踩到了喔！	Careful,\ndon't step on it!
報仇的時候\n到了！	Time for\nrevenge!
猜猜看\n我要走幾步？	Guess how many\nsteps I'll take?
運氣太差了！	Such bad luck!
這機器\n很神奇喔！	This machine\nis amazing!
趕快離開就不會\n有人受傷！！	Run away and\nno one gets hurt!!
害過我的人\n當心了∼	Those who wronged me,\nbeware~
蓋得越高越好！	The taller, the better!
誰這麼無聊？！	Who's so bored?!
我怎麼\n這麼不小心？！	How could I be\nso careless?!
害人精！！	You troublemaker!!
喔∼∼∼\n喔∼∼∼	Ohh~~~\nOhh~~~
胡攪瞎搞\n胡攪瞎搞∼	Messing around,\nmessing around~
衝啊！	Charge!
交通管制！	Traffic control!
我什麼都沒做∼	I didn't do anything~
沒人看到吧？	No one saw that, right?
瞄準目標！！	Target locked!!
隨心所欲\n自由自在！	Do whatever you want,\nfree as a bird!
時光倒流嘍！	Time flows backward!
這要怎麼用啊？	How do I use this?
拿你們來開刀！	You'll be my targets!
我放煙火\n給大家看！	Fireworks\nfor everyone!
動作快一點！！	Hurry up!!
我停∼	I'll stop~
烏咪好可憐喔！	Poor little Mimi!
快爆炸了啦！！	It's going to blow!!
交通安全\n要注意！	Pay attention to\ntraffic safety!
我喜歡\n追求速度感！	I love the\nneed for speed!
小可愛，去吧	Go, little cutie!
閒人止步！	No entry!
別大意呀	Stay alert
吃顆蛋吧	Have an egg
賞你一枚飛彈！	Have a missile on me!
我可以去\n想去的地方了！	Now I can go\nanywhere I want!
倒退一回合！！	Go back a turn!!
得之不易，\n想清楚再用！	Hard-won:\nthink before you use it!
我來檢測大家的\n房子堅不堅固？	Let me test if your\nbuildings are sturdy~
對敵人仁慈，\n就是對自己殘忍	Mercy to your enemy\nis cruelty to yourself
你們辦事\n我放心∼	Your work gives me\nconfidence~
有夠機車！！	So God dang annoying!!
真倒霉！！	What bad luck!!
誰來接手∼∼	Who'll take over~~
跑快一點！	Run faster!
比火箭還快喔！	Faster than a rocket!
衝呀！衝呀！	Charge! Charge!
禁止通行！	No entrance!
注意！	Look out!
小心點！	Careful!
嗨！大夥兒們！	Hi, everyone!
心想事成！	May your wishes come true!
回到過去！！	Back to the past!!
好機器！	Great machine!
我是\n魔鬼終結者！	I am the\nTerminator!
世界末日到了∼	The apocalypse is here~
快來幫手！	Someone help!
噢！	Oh!
完了！	It's over!
大事不妙~	Oh no, this is bad~
