我才不付！	No way I'm paying!
天降鴻福!!	Fortune falls from heaven!!
得意的一天!	My day of glory!
飛來橫禍!	A bolt from the blue!
無妄之災!	Undeserved disaster!
真是不幸~	Such misfortune~
人無橫財不富!	No windfall, no wealth!
多多益善!	The more the better!
塞牙縫都不夠!	Not even enough to\nfill a tooth gap!
搶錢啊?!	Daylight robbery?!
哼!這點錢\n也要跟我拿~	Hmph! Asking me for\nsuch pocket change~
算本公主賞你的	Consider it a gift\nfrom the princess
本公主\n就是不想付，\n怎樣?	The princess doesn't\nWANT to pay.\nSo there!
不付\n也是應該的。	Not paying\nis only right.
諒你也不敢\n跟本公主收錢!	You wouldn't dare charge\nthe princess!
哈!不要命的\n就來啊!	Ha! Come on over\nif you've got a death wish!
快來這裡玩玩!	Come play here!
你們有得瞧囉!	You're in for a show!
本公主跟你有\n深仇大恨嗎?	Did the princess wrong\nyou somehow?
還不放我出去!	Let me out of here!
我要住\n頭等病房!!!	I demand a private\nward!!!
我不睏~	I'm not sleepy~
別弄髒\n我的衣服!!	Don't dirty\nmy clothes!!
終於肯走了!	Finally leaving!
你們都不是\n對手!!	None of you are\na match for me!!
一定有誰\n作弊啦!	Someone must be\ncheating!
本公主\n決不放棄!	This princess\nnever gives up!
萬歲!\n中大獎了!	Yay!\nI won the grand prize!
Lucky!\n運氣不錯!	Lucky!\nNice luck!
最近\n運氣不錯嘛!	Luck's been\ngood lately!
可恨，混帳烏龜\n王八蛋！	Curse you,\nyou miserable\nturtle!
為…為什麼？	W-why?
嘖，有夠倒楣…	Tsk, such terrible luck...
哈哈哈，\n真是幸運！	Hahaha,\nwhat luck!
喔，進帳了！	Oh, money in the bank!
不錯不錯，\n總比沒有好…	Not bad —\nbetter than nothing...
啊啊啊…\n世事無常…	Ahh...\nlife is so fleeting...
嘖，這麼貴呀！	Tsk, so expensive!
小意思，\n小意思！	Pocket change,\npocket change!
哈哈哈，\n很羨慕吧！	Hahaha,\nyou're jealous, aren't you!
哈哈，幸運！	Haha, lucky!
哼，\n這剛剛好而已！	Hmph,\nthat's just enough!
喔喔，\n我真了不起！	Ohhh,\nI'm amazing!
呵呵呵，\n我還滿行的嘛!	Heh heh heh,\nI've still got it!
呼呼呼，\n誰會來呢，\n真令人期待!	Hoo hoo hoo,\nwho will come next?\nSo exciting!
你．給．我．\n記·著！	You. Will.\nRemember. This!
放我出去!\n我是無辜的!	Let me out!\nI'm innocent!
嗨，漂亮的護士\n妹妹在哪兒？	Hi, where's the\npretty nurse?
ZZZ…	ZZZ...
為什麼是我？	Why me?
呼…\n終於走掉了!	Phew...\nThey're finally gone!
呵呵呵，\n功成名就啦!	Heh heh heh,\nsuccess and fame!
可恨…\n最近有夠背!	Damn...\nsuch a unlucky streak!
畜生，\n我偏不信邪!	Curse it —\nI refuse to believe it!
可喜可賀!	A cause for celebration!
好幸福喔!	I'm so happy!
嗯~我很滿意!	Mm~ I'm satisfied!
真淒慘~	So tragic~
不跟你好了!!	I'm not talking to you!!
好倒楣喔~	So unlucky~
我是小富婆~	I'm a little rich lady~
哇!賺到了	Wow! Cha-ching!
怎麼\n不多給一點?	Why didn't they\npay me more?
太誇張了!	That's outrageous!
賺的都不夠賠!	My earnings can't\neven cover losses!
唉!\n錢乃身外之物~	Ah!\nMoney's just a worldly thing~
別想我會付錢!	Don't expect me to pay!
下次再給你~	I'll pay you next time~
省起來!	Save it!
萬丈高樓\n平地起!!	Even the tallest tower\nstarts from the ground!!
總算買到了!	Finally bought it!
好棒喔!	Wonderful!
為什麼\n要欺負我？	Why are you\nbullying me?
我要回家~	I want to go home~
魔鬼！！	DEVIL!!
最好\n離我遠遠的~	You'd better\nsteer clear~
回家啦~	Going home~
嗚~\n一毛都不剩~	Waa~\nNot a penny left~
讓我\n再玩一次吧!	Let me play\none more time!
漂亮！	Beautiful!
酷斃了！	So cool!
哈哈!\n今天真高興!	Haha!\nSo happy today!
不可能！！	Impossible!!
走霉運！	Bad luck!
太失敗了！	What a failure!
大豐收！！	Big harvest!!
哈!意外之財	Ha! A windfall!
才這點錢啊？	That's all?!
為什麼會是我？	Why me?
有沒有搞錯啊？	Is this a joke?
不要緊~	It's fine~
捏了一把冷汗~	That was a close call~
太痛快了！	So satisfying!
不是我\n不給你喔！	It's not that I\nwon't give it to you!
真有成就感!!	So fulfilling!!
你也來試試看嘛	You should try it too
歡迎大家來玩!	Everyone come play!
為什麼\n要跟烏咪作對？	Why would you oppose\nMimi?
烏咪沒有犯罪!	Mimi did nothing wrong!
醫生在哪裡？	Where's the doctor?
zzzzzz\nZZZZZZ	zzzzzz\nZZZZZZ
提心吊膽~~	On pins and needles~~
終於可以\n鬆一口氣了~	Finally, I can\nbreathe again~
你們都不是\n烏咪的對手啦!	None of you are\na match for Mimi!
你們爭氣點\n行不行？	Could you please\nshape up?
再接再勵！	Keep it up!
我是不是\n在作夢啊？	Am I dreaming?
太高興了！	So happy!
好的開始\n是成功的一半!	Well begun\nis half done!
完蛋了！	I'm doomed!
慘了~	Oh no~
人家不管啦!	I don't care anymore!
哈!财源滚滚。	Ha! Wealth rolling in.
好样的！	Nice one!
嘻~積少成多!	Hee~ every little helps!
人家付不起啦!	I can't afford it!
唉~花钱消灾!	Ah~ money to ward off misfortune!
小意思~	Pocket change~
吓人家一跳!!	You startled me!!
真是万幸!	What a relief!
还好没事~	Good thing nothing happened~
人家真能干!	I'm so capable!
有空来坐坐吧!	Come visit anytime!
太棒了!	Wonderful!
钱都被你\n拿光了!	You took ALL\nmy money!
呜呜呜~~~	Waaaa~~~
嗯~	Mm~
不要找我~	Don't come to me~
呼~总算走了!	Phew~ finally gone!
呵呵呵~\n承让了!	Heh heh heh~\nI concede!
呜~人家一毛\n也不剩了。	Waa~ not a single\npenny left.
我不甘心!\n我要卷土重来!	I refuse to accept this!\nI'll make a comeback!
太妙了!	Brilliant!
喔!耶!	Oh! Yay!
妈妈咪呀!	Mamma mia!
喔!我的天啊!	Oh, my God!
我不相信!	I don't believe it!
我是有钱人!	I'm rich!
我赚大钱了!	I made a fortune!
不错嘛!	Not bad!
太贵了!	Too expensive!
我破产了!	I'm bankrupt!
没什么大不了!	It's nothing!
幸运!	Lucky!
感谢上帝!	Thank God!
太美了!	How beautiful!
好极了!	Excellent!
万岁!	Hooray!
你不能\n这样对我!	You can't do\nthis to me!
让我出去!	Let me out!
我没有生病!	I'm not sick!
我不累~	I'm not tired~
喔!不!	Oh no!
感谢老天!	Thank heavens!
我是赢家!	I'm the winner!
不公平!	Not fair!
让我再玩一次!	Let me play again!
