我不想賣~	I don't wanna sell~
這個地段\n也該漲價了吧?	Isn't it time this area's\nprices went up?
斷水斷電，\n禁止營業!	Water and power cut off —\nCLOSED!
跟我一國\n好處多多喔!	Join my side —\nlots of perks!
祝你像牠\n一樣長壽!	May you live as long\nas it does!
翹頭囉!	Kicked the bucket!
這樣\n比較有賺頭~	This makes\nmore money~
再來一次！！	Once more!!
一塊地\n都不放過！！	Not a single plot\nspared!!
下次誰敢\n靠近你呀？	Who'd dare come near\nyou now?
烏咪會記住的	Mimi won't forget this
烏咪不要換地	Mimi doesn't want to trade land
烏咪生氣啦！	Mimi is ANGRY!
別跟我說\n「回頭是岸」！！	Don't tell me to\n"turn back"!!
我有得罪你嗎？	Did I ever wrong you?
誰買就是跟\n烏咪作對！！	Buy it and you're\nMimi's enemy!!
烏咪討厭你！	Mimi hates you!
是誰\n拆我的房子啊？	Who demolished\nmy house?
咬你喔！！！	I'll bite you!!!
寸步難行！！！	Can't move an inch!!!
我跟你\n沒完沒了！	This isn't\nover between us!
哼！真不乾脆！	Hmph! So indecisive!
跟我沒關係！！	Not my problem!!
烏咪討厭\n賴賬的人！！	Mimi hates deadbeats!!
烏咪可虧大了！	Mimi lost big time!
別背叛烏咪喔！	Don't betray Mimi!
前途黑暗~~~	The road ahead is dark~~
有飯大家吃，\n有錢大家花！	Food for everyone,\nmoney for everyone!
拿些錢\n來花花吧！	Lend me some money\nto spend!
這棟房子\n不錯喔~	Nice house~
打個商量吧！	Let's make a deal!
交換一下吧！	Let's swap!
苦海無邊，\n回頭是岸！	The sea of suffering is boundless —\nturn back to shore!
幫你換個\n新造型!	Here's a new look\nfor you!
快喔!\n價高者得~	Quick now —\nhighest bidder wins~
天使降臨!!	The angel descends!!
惡魔現身!!	The demon appears!!
讓我來\n為民除害!!	I'll rid the people\nof this pest!!
維護市容整潔\n人人有責!	Keeping the city clean\nis everyone's duty!
你的就是我的，\n我的還是我的!	What's yours is mine,\nand what's mine is mine!
別急著走嘛!	Don't rush off!
休息是為了走\n更長的路!	Rest is preparation for\na longer road!
過馬路\n要小心喔!	Careful crossing\nthe street!
人家\n不是故意的~	I didn't\nmean it~
這是你自找的!	You asked for this!
委屈您了~	Sorry for the trouble~
人家很窮的!	I'm very poor!
人家是無辜的~	I'm innocent~
請您\n快快離開吧!!	Please leave\nright now!!
有請仙人降臨!	Summoning the immortal!
大紅股票\n高高漲!!	Stocks in the red and\nsoaring high!!
跌個慘兮兮~	Falling, falling hard~
好國民\n要繳稅喔!	Good citizens\npay their taxes!
物價上漲囉!!	Prices are going up!!
嘻嘻!\n關門大吉!	Hee hee!\nOut of business!
聯合次要敵人\n打擊主要敵人!	Unite with secondary enemies\nto defeat the main one!
嘻!\n你是屬烏龜的~	Hee!\nSlowpoke~
掉個頭~	U-turn~
這樣才賺錢!	That's how you make money!
我還不想走~	I don't want to go yet~
步步為營	One step at a time
還我錢來~	Pay me back~
人家的房子~	My own house~
誰要你的爛地!	Who wants your lousy land!
哪有人這樣的!	How could anyone!
我不要向後轉~	I won't turn around~
別雞婆~~~	Stop butting in~~~
那是非賣品!!	Not for sale!!
哇!人家辛苦\n蓋的房子~	Waa! The house I worked\nso hard to build~
沒事拆人家\n房子幹嘛!	Why demolish other\npeople's houses?!
還給人家啦~	Give it back~
我要離開這裡!	I'm leaving this place!
不要害人家啦~	Stop hurting me~
偷雞不著\n蝕把米~	Went for wool and\ncame home shorn~
關人家什麼事!	What's it to you!
小錢也要省?!	Saving pennies now?!
你憑什麼\n抽我稅?!	What gives you the right\nto tax me?!
誰要跟你好?!	Who wants to be your friend?!
爬呀爬呀\n過沙河~	Crawl, crawl,\nacross the sand river~
嘻嘻嘻~	Hee hee hee~
小錢、小錢!	Small change, small change!
我要據為己有!	I'll take it for myself!
好玩嘛!	What fun!
我不是故意的!	I didn't mean it!
別走這邊!	Not this way!
我能幫助你嗎?	May I help you?
大拍賣!	BIG SALE!
哈利路亚!	Hallelujah!
阴阳魔界~	The Twilight Zone~
喔!酷!	Oh! Cool!
别紧张!	Relax!
给我!	Gimme!
别动!	Don't move!
睡觉时间到了~	Bedtime~
就像一场梦~	Just like a dream~
不过开开玩笑!	Just kidding!
你罪有应得!	You got what you deserved!
太可怜了!	How pitiful!
