少年人\n要知進退!	Young folk should know\nwhen to advance or retreat!
我以早\n是土水師!	I used to be\na mason!
大俗賣!\n大俗賣!	Big clearance sale!\nBig clearance sale!
起厝\n就要起歸排!	Build houses\na whole row at a time!
請到\n一個魔神仔~	Calling the little\ndemon~
拆掉\n重蓋卡緊啦!	Tear it down and\nrebuild, quick!
拆厝喔!	House demolition!
我是賊仔賊公會\n的會長!	I'm the president of\nthe Thieves Guild!
稍等一下唷!	Just a moment!
卡早睡咧\n卡有眠~	Early to bed\nmeans better sleep~
有魂無體\n親像稻草人~	A soul without a body,\nlike a scarecrow~
別人的失敗\n就是我的快樂!	Other people's failures\nare my happiness!
報一咧\n老鼠啊冤!	Pay up, deadbeat!
歹勢!歹勢!	Sorry! Sorry!
好家在!	Thank goodness!
人不是阮殺的~	I didn't kill anybody~
奉送啟程!	Safe travels!
拜請拜請!\n大仙王爺公，\n小仙王爺仔~	We summon you,\ngreat lords and\nlittle lords~
阮的現金目前\n攏寄在股市~	All my cash is\nin the stock market~
股票不通意!!	The stocks won't move!!
你敢有納稅?	Have you paid your taxes?
起價卡好賺食!	Starting price makes\neasier money!
轉去呷自己啦!	Go home and eat your own food!
跟我逗陣\n有好嘸壞~	Hang with me —\nonly upsides~
呷緊弄破碗~	Hasty eaters\nbreak their bowls~
越頭卡快活!	Turning around\nis happier!
起厝我專門科~	Building houses is\nmy specialty~
不願行了!	I won't go!
一步一腳印	One step at a time
你跟我\n有冤仇喔!!	You and I have\na blood feud!!
你給我卡\n差不多ㄟ!!	Know your\nplace!!
乎你魯死!	I'll pester you to death!
滿腹痛苦\n嘸人知~	Full of pain\nand no one knows~
嘸意嘸思!	Not interested!
免你雞婆啦!	Don't be nosy!
你捺ㄟ這失德!	How could you be so shameless!
你有夠討債!!	You're such a burden!!
你這個人\n真難逗陣!	You're a hard person\nto get along with!
細漢偷挽瓠，\n大漢偷牽牛!	Steals gourds as a child,\nsteals oxen as an adult!
進嘸步退嘸路~	Can't advance,\ncan't retreat~
大人啊!\n冤枉啊~	Your honor,\nI'm innocent~
天公嘸目瞅喔!	Heaven has no eyes!
麥牽拖厝邊啦!	Don't drag neighbors into it!
噠嘛好啊!	Whatever works!
麥來這套!!	Don't pull that on me!!
望你給阮牽成~	Hope you'll help me out~
欺負老大人!	Bullying an old man!
這是\n你們的榮幸!	It's an honor\nfor you!
嘻嘻~\n別生氣喔!	Hee hee~\nDon't be mad!
這裡\n本公主徵收了!	This land is hereby\nannexed by the princess!
看得起你\n才跟你換!	I trade with you\nout of respect!
由不得你說不!	You don't get a say!
我命令你\n向後轉!	I command you:\nabout face!
你品味真差!!	You have terrible taste!!
惡作劇一下。	Just a little prank.
萬能的天使!\n賜給我\n神奇的力量~	Almighty angel!\nGrant me\nmiraculous power~
好戲在後頭!!	The best is yet to come!!
來福!咬它!	Rex! Bite it!
景觀太差了吧?	The view is terrible, no?
你的東西\n本公主要了!	The princess will be\ntaking your stuff!
多休息一會吧!\n呵呵呵!	Rest a while!\nHeh heh heh!
睡吧!\nBABY!	Go to sleep,\nBABY!
不要掉到\n水溝裡去喔!	Don't fall in\na ditch!
接受\n法律的制裁吧!	Face the judgment\nof the law!
你休想得逞!	You won't get away with it!
找個替死鬼~	Find a scapegoat~
一毛都不給你!	Not a penny for you!
還好\n本公主命大。	Fortunately the princess\nhas a lucky star.
走開!\n別煩我!	Go away,\ndon't bother me!
給本公主過來!	Come here, at once!
大漲長紅!	Soaring prices!
跌到谷底~	Rock bottom~
繳錢給國庫吧!	Pay into the treasury!
這裡\n收費太低了!	The tolls here\nare too low!
禁止營業!	Closed for business!
不必受寵若驚!	Don't be so flattered!
